"sp","0.0445","value_ralgae","p_change","qual_change"
"austromegabalanus psittacus",0.0114622365748218,0.001,-0.0176269328893142,"Less than 5% change"
"balanus laevis",0.26016471679855,0.001,1.16638839191832,"Less than 5% change"
"brachidontes granulata",-0.00139603245047359,0.001,-0.0229438133450777,"Less than 5% change"
"bunodactis spp.",0.0372284601651174,0.001,0.0277999117221039,"Less than 5% change"
"Oulactis concinnata",0.0372284601655393,0.001,0.027799911201476,"Less than 5% change"
"jhelius cirratus",-0.111288319295266,0.001,-0.127888577922264,"Less than 5% change"
"lessonia nigrescens a",-19.4510984760688,0.001,-19.5312719483985,"Decrease"
"nothobalanus flosculus",0.158398665760684,0.001,0.580453345264509,"Less than 5% change"
"nothochthamalus scabrosus",-0.106012580512083,0.001,-0.126363140086039,"Less than 5% change"
"parantheopsis ",0.0372284601659389,0.001,0.0277999105980253,"Less than 5% change"
"perumytilus purpuratus",0.310116703044749,0.001,0.336218518851372,"Less than 5% change"
"phragmatopoma spp.",-0.00116288115750152,0.001,-0.0194331182909124,"Less than 5% change"
"phymactis spp.",0.0372284601651618,0.001,0.0277999116760741,"Less than 5% change"
"pyura chilensis",-0.00112592976836412,0.001,-0.0188687445924485,"Less than 5% change"
"semimytilus algosus",0.15925112742059,0.001,0.165437789769851,"Less than 5% change"
"gulls",0.0383959244085519,0.001,0.0756087999772559,"Less than 5% change"
"cinclodes nigrofumosus",0.000255536418913849,0.001,0.00439623435430914,"Less than 5% change"
"Echinolittorina peruviana",-0.161395838517253,0.001,0,"Less than 5% change"
"austrolittorina araucana",-0.160947173859538,0.001,0,"Less than 5% change"
"onchidella sp. ",-0.160168779774228,0.001,0,"Less than 5% change"
"Allelopetrolisthes punctatus",-0.000378829356695309,0.001,-0.00118422843724542,"Less than 5% change"
"petrolisthes spinifrons",-0.000378829356839638,0.001,-0.00118422761786752,"Less than 5% change"
"petrolisthes angulosus",-0.000378829356595389,0.001,-0.00118422813353281,"Less than 5% change"
"petrolisthes tuberculatus",-0.000378829356606492,0.001,-0.00118422793556894,"Less than 5% change"
"petrolisthes tuberculosus",-0.000378829356850741,0.001,-0.00118422712891419,"Less than 5% change"
"trimusculus peruvianus",-0.160171813537502,0.001,0,"Less than 5% change"
"lessonia nigrescens j",196.126944896417,0.001,200.260248818701,"Increase"
"algae",-0.109713196487393,0.001,-68.5069882495869,"Decrease"
"acanthina monodon",0.0336147349659477,0.0011,0.0241699055499867,"Less than 5% change"
"acanthocyclus gayi",0.0187216570261439,0.0011,0.00497090765281261,"Less than 5% change"
"acanthocyclus hassleri",0.0187569167316548,0.0011,0.00502046961023961,"Less than 5% change"
"acanthopleura echinata",-0.0770770712181013,0.0011,-0.0672630971740085,"Less than 5% change"
"chaetopleura peruviana",0.0658763418329711,0.0011,0.0776433249067621,"Less than 5% change"
"chiton  cummingsi",0.386618330155231,0.0011,1.38903414242602,"Less than 5% change"
"chiton  granosus",0.222591098697311,0.0011,0.187311967120274,"Less than 5% change"
"chiton  latus",0.364515458685832,0.0011,1.41757720952036,"Less than 5% change"
"lottia  orbignyi",0.37680507819553,0.0011,1.39729332014948,"Less than 5% change"
"concholepas concholepas",0.012174612539817,0.0011,-0.00379234832198483,"Less than 5% change"
"enoplochiton  niger",-0.169675052058005,0.0011,-0.113610327097713,"Less than 5% change"
"fissurella  costata",-0.400002558534629,0.0011,-0.39333074575516,"Less than 5% change"
"fissurella  crassa",-0.281227091034353,0.0011,-0.255275282201672,"Less than 5% change"
"fissurella  cummingi",-0.254267979570211,0.0011,-0.218444958806296,"Less than 5% change"
"fissurella  limbata",0.475123777764108,0.0011,0.673932242229158,"Less than 5% change"
"fissurella  maxima",-0.222326567967401,0.0011,-0.177161060233244,"Less than 5% change"
"fissurella  picta",-0.246458794276494,0.0011,-0.207411877092478,"Less than 5% change"
"fissurella  puhlcra",-0.246458794276516,0.0011,-0.207411877652364,"Less than 5% change"
"heliaster helianthus",0.0117549691753371,0.0011,-0.0035971963950443,"Less than 5% change"
"scurria  araucana",0.377295494817398,0.0011,1.39708678727564,"Less than 5% change"
"scurria  ceciliana",0.381419778594294,0.0011,1.39257809815421,"Less than 5% change"
"scurria  plana",0.377352213552129,0.0011,1.39337460317974,"Less than 5% change"
"scurria scurra",-32.7826999381218,0.0011,-33.5988149608299,"Decrease"
"scurria variabilis",0.398448435084608,0.0011,1.38710484982738,"Less than 5% change"
"scurria viridula",0.420208770737185,0.0011,1.39046673629177,"Less than 5% change"
"scurria zebrina",0.42470044406544,0.0011,1.39322166941847,"Less than 5% change"
"siphonaria lesoni",0.361705169592486,0.0011,1.42754992438165,"Less than 5% change"
"stichaster striatus",0.0340622050904571,0.0011,0.0242907640653378,"Less than 5% change"
"tegula atra",4.97266222161905,0.0011,0,"Less than 5% change"
"Tonicia lineolata",-0.516539868736798,0.0011,-1.35780272308618,"Less than 5% change"
"tonicia  chilensis",-0.516539868736798,0.0011,-1.35780272308621,"Less than 5% change"
"tonicia  elegans",-0.516539868736776,0.0011,-1.35780272308618,"Less than 5% change"
"anthotoe spp.",0.0372284601659389,0.0011,0.0278020222093334,"Less than 5% change"
"austromegabalanus psittacus",0.0114622365748218,0.0011,-0.0176247230547655,"Less than 5% change"
"balanus laevis",0.26016471679855,0.0011,1.16638899964858,"Less than 5% change"
"brachidontes granulata",-0.00139603245047359,0.0011,-0.0229424121132249,"Less than 5% change"
"bunodactis spp.",0.0372284601651174,0.0011,0.0278020230523035,"Less than 5% change"
"Oulactis concinnata",0.0372284601655393,0.0011,0.0278020225806364,"Less than 5% change"
"jhelius cirratus",-0.111288319295266,0.0011,-0.127882195646545,"Less than 5% change"
"lessonia nigrescens a",-19.4510984760688,0.0011,-19.5312720542983,"Decrease"
"nothobalanus flosculus",0.158398665760684,0.0011,0.580459534677868,"Less than 5% change"
"nothochthamalus scabrosus",-0.106012580512083,0.0011,-0.126356786479076,"Less than 5% change"
"parantheopsis ",0.0372284601659389,0.0011,0.0278020222093112,"Less than 5% change"
"perumytilus purpuratus",0.310116703044749,0.0011,0.336231663835762,"Less than 5% change"
"phragmatopoma spp.",-0.00116288115750152,0.0011,-0.0194319490006589,"Less than 5% change"
"phymactis spp.",0.0372284601651618,0.0011,0.0278020230487064,"Less than 5% change"
"pyura chilensis",-0.00112592976836412,0.0011,-0.0188676210035488,"Less than 5% change"
"semimytilus algosus",0.15925112742059,0.0011,0.165441921861054,"Less than 5% change"
"gulls",0.0383959244085519,0.0011,0.075613246156303,"Less than 5% change"
"cinclodes nigrofumosus",0.000255536418913849,0.0011,0.00440028418553506,"Less than 5% change"
"Echinolittorina peruviana",-0.161395838517253,0.0011,0,"Less than 5% change"
"austrolittorina araucana",-0.160947173859538,0.0011,0,"Less than 5% change"
"onchidella sp. ",-0.160168779774228,0.0011,0,"Less than 5% change"
"Allelopetrolisthes punctatus",-0.000378829356695309,0.0011,-0.00117879038786795,"Less than 5% change"
"petrolisthes spinifrons",-0.000378829356839638,0.0011,-0.00117879063193937,"Less than 5% change"
"petrolisthes angulosus",-0.000378829356595389,0.0011,-0.00117878897412105,"Less than 5% change"
"petrolisthes tuberculatus",-0.000378829356606492,0.0011,-0.00117879630322504,"Less than 5% change"
"petrolisthes tuberculosus",-0.000378829356850741,0.0011,-0.00117878806205063,"Less than 5% change"
"trimusculus peruvianus",-0.160171813537502,0.0011,0,"Less than 5% change"
"lessonia nigrescens j",196.126944896417,0.0011,200.260252881631,"Increase"
"algae",-0.109713196487393,0.0011,-64.2019007397353,"Decrease"
"acanthina monodon",0.0336147349659477,0.0012,0.0241708792970696,"Less than 5% change"
"acanthocyclus gayi",0.0187216570261439,0.0012,0.00497458465820166,"Less than 5% change"
"acanthocyclus hassleri",0.0187569167316548,0.0012,0.00502142210652146,"Less than 5% change"
"acanthopleura echinata",-0.0770770712181013,0.0012,-0.0672616772488421,"Less than 5% change"
"chaetopleura peruviana",0.0658763418329711,0.0012,0.0776455548345378,"Less than 5% change"
"chiton  cummingsi",0.386618330155231,0.0012,1.38903592129096,"Less than 5% change"
"chiton  granosus",0.222591098697311,0.0012,0.187312683260443,"Less than 5% change"
"chiton  latus",0.364515458685832,0.0012,1.41757905156132,"Less than 5% change"
"lottia  orbignyi",0.37680507819553,0.0012,1.3972942683103,"Less than 5% change"
"concholepas concholepas",0.012174612539817,0.0012,-0.00379147036931871,"Less than 5% change"
"enoplochiton  niger",-0.169675052058005,0.0012,-0.113609655942992,"Less than 5% change"
"fissurella  costata",-0.400002558534629,0.0012,-0.393330071446552,"Less than 5% change"
"fissurella  crassa",-0.281227091034353,0.0012,-0.255274605147504,"Less than 5% change"
"fissurella  cummingi",-0.254267979570211,0.0012,-0.218444322029454,"Less than 5% change"
"fissurella  limbata",0.475123777764108,0.0012,0.673933072014576,"Less than 5% change"
"fissurella  maxima",-0.222326567967401,0.0012,-0.177160384551522,"Less than 5% change"
"fissurella  picta",-0.246458794276494,0.0012,-0.207411233842636,"Less than 5% change"
"fissurella  puhlcra",-0.246458794276516,0.0012,-0.207411233842636,"Less than 5% change"
"heliaster helianthus",0.0117549691753371,0.0012,-0.00359489032156768,"Less than 5% change"
"scurria  araucana",0.377295494817398,0.0012,1.39708774730853,"Less than 5% change"
"scurria  ceciliana",0.381419778594294,0.0012,1.3925789345167,"Less than 5% change"
"scurria  plana",0.377352213552129,0.0012,1.39337549101703,"Less than 5% change"
"scurria scurra",-32.7826999381218,0.0012,-33.5988168263383,"Decrease"
"scurria variabilis",0.398448435084608,0.0012,1.38710546525802,"Less than 5% change"
"scurria viridula",0.420208770737185,0.0012,1.39046725932046,"Less than 5% change"
"scurria zebrina",0.42470044406544,0.0012,1.39322204179977,"Less than 5% change"
"siphonaria lesoni",0.361705169592486,0.0012,1.42755178968406,"Less than 5% change"
"stichaster striatus",0.0340622050904571,0.0012,0.0242969760534839,"Less than 5% change"
"tegula atra",4.97266222161905,0.0012,0,"Less than 5% change"
"Tonicia lineolata",-0.516539868736798,0.0012,-1.35780093985485,"Less than 5% change"
"tonicia  chilensis",-0.516539868736798,0.0012,-1.35780093985485,"Less than 5% change"
"tonicia  elegans",-0.516539868736776,0.0012,-1.35780093985485,"Less than 5% change"
"anthotoe spp.",0.0372284601659389,0.0012,0.0278042141989454,"Less than 5% change"
"austromegabalanus psittacus",0.0114622365748218,0.0012,-0.017622237953252,"Less than 5% change"
"balanus laevis",0.26016471679855,0.0012,1.16639045216327,"Less than 5% change"
"brachidontes granulata",-0.00139603245047359,0.0012,-0.0229407257162806,"Less than 5% change"
"bunodactis spp.",0.0372284601651174,0.0012,0.0278042152943359,"Less than 5% change"
"Oulactis concinnata",0.0372284601655393,0.0012,0.0278042147650037,"Less than 5% change"
"jhelius cirratus",-0.111288319295266,0.0012,-0.127890717691037,"Less than 5% change"
"lessonia nigrescens a",-19.4510984760688,0.0012,-19.5312720108608,"Decrease"
"nothobalanus flosculus",0.158398665760684,0.0012,0.580451702503315,"Less than 5% change"
"nothochthamalus scabrosus",-0.106012580512083,0.0012,-0.126364618930341,"Less than 5% change"
"parantheopsis ",0.0372284601659389,0.0012,0.0278042141989454,"Less than 5% change"
"perumytilus purpuratus",0.310116703044749,0.0012,0.336231604514614,"Less than 5% change"
"phragmatopoma spp.",-0.00116288115750152,0.0012,-0.0194304958551883,"Less than 5% change"
"phymactis spp.",0.0372284601651618,0.0012,0.027804215250149,"Less than 5% change"
"pyura chilensis",-0.00112592976836412,0.0012,-0.0188661622150699,"Less than 5% change"
"semimytilus algosus",0.15925112742059,0.0012,0.165442709976182,"Less than 5% change"
"gulls",0.0383959244085519,0.0012,0.0756042449676197,"Less than 5% change"
"cinclodes nigrofumosus",0.000255536418913849,0.0012,0.00438280278900471,"Less than 5% change"
"Echinolittorina peruviana",-0.161395838517253,0.0012,0,"Less than 5% change"
"austrolittorina araucana",-0.160947173859538,0.0012,0,"Less than 5% change"
"onchidella sp. ",-0.160168779774228,0.0012,0,"Less than 5% change"
"Allelopetrolisthes punctatus",-0.000378829356695309,0.0012,-0.00119840148758987,"Less than 5% change"
"petrolisthes spinifrons",-0.000378829356839638,0.0012,-0.00119840149154227,"Less than 5% change"
"petrolisthes angulosus",-0.000378829356595389,0.0012,-0.00119840152782436,"Less than 5% change"
"petrolisthes tuberculatus",-0.000378829356606492,0.0012,-0.00119840140921923,"Less than 5% change"
"petrolisthes tuberculosus",-0.000378829356850741,0.0012,-0.00119840154322315,"Less than 5% change"
"trimusculus peruvianus",-0.160171813537502,0.0012,0,"Less than 5% change"
"lessonia nigrescens j",196.126944896417,0.0012,200.26025122464,"Increase"
"algae",-0.109713196487393,0.0012,-59.8288955184974,"Decrease"
"acanthina monodon",0.0336147349659477,0.0013,0.0241741355488934,"Less than 5% change"
"acanthocyclus gayi",0.0187216570261439,0.0013,0.00497547337210413,"Less than 5% change"
"acanthocyclus hassleri",0.0187569167316548,0.0013,0.00502413926859457,"Less than 5% change"
"acanthopleura echinata",-0.0770770712181013,0.0013,-0.067257105787788,"Less than 5% change"
"chaetopleura peruviana",0.0658763418329711,0.0013,0.0776488482282067,"Less than 5% change"
"chiton  cummingsi",0.386618330155231,0.0013,1.38903813622664,"Less than 5% change"
"chiton  granosus",0.222591098697311,0.0013,0.187320527660084,"Less than 5% change"
"chiton  latus",0.364515458685832,0.0013,1.41758052128518,"Less than 5% change"
"lottia  orbignyi",0.37680507819553,0.0013,1.39729670287003,"Less than 5% change"
"concholepas concholepas",0.012174612539817,0.0013,-0.00378891695349548,"Less than 5% change"
"enoplochiton  niger",-0.169675052058005,0.0013,-0.113602897707021,"Less than 5% change"
"fissurella  costata",-0.400002558534629,0.0013,-0.393323493043785,"Less than 5% change"
"fissurella  crassa",-0.281227091034353,0.0013,-0.255267892226019,"Less than 5% change"
"fissurella  cummingi",-0.254267979570211,0.0013,-0.218437733016452,"Less than 5% change"
"fissurella  limbata",0.475123777764108,0.0013,0.673940184828981,"Less than 5% change"
"fissurella  maxima",-0.222326567967401,0.0013,-0.17715379619766,"Less than 5% change"
"fissurella  picta",-0.246458794276494,0.0013,-0.207404643644504,"Less than 5% change"
"fissurella  puhlcra",-0.246458794276516,0.0013,-0.207404643644515,"Less than 5% change"
"heliaster helianthus",0.0117549691753371,0.0013,-0.00359344020476327,"Less than 5% change"
"scurria  araucana",0.377295494817398,0.0013,1.39709018197864,"Less than 5% change"
"scurria  ceciliana",0.381419778594294,0.0013,1.39258159576847,"Less than 5% change"
"scurria  plana",0.377352213552129,0.0013,1.3933780352515,"Less than 5% change"
"scurria scurra",-32.7826999381218,0.0013,-33.5988155982097,"Decrease"
"scurria variabilis",0.398448435084608,0.0013,1.38710878784982,"Less than 5% change"
"scurria viridula",0.420208770737185,0.0013,1.3904714407482,"Less than 5% change"
"scurria zebrina",0.42470044406544,0.0013,1.39322647161613,"Less than 5% change"
"siphonaria lesoni",0.361705169592486,0.0013,1.42755313648228,"Less than 5% change"
"stichaster striatus",0.0340622050904571,0.0013,0.0242967764509494,"Less than 5% change"
"tegula atra",4.97266222161905,0.0013,0,"Less than 5% change"
"Tonicia lineolata",-0.516539868736798,0.0013,-1.35779936565293,"Less than 5% change"
"tonicia  chilensis",-0.516539868736798,0.0013,-1.3577993656529,"Less than 5% change"
"tonicia  elegans",-0.516539868736776,0.0013,-1.35779936565289,"Less than 5% change"
"anthotoe spp.",0.0372284601659389,0.0013,0.027807146098513,"Less than 5% change"
"austromegabalanus psittacus",0.0114622365748218,0.0013,-0.0176195727585093,"Less than 5% change"
"balanus laevis",0.26016471679855,0.0013,1.16639025278702,"Less than 5% change"
"brachidontes granulata",-0.00139603245047359,0.0013,-0.0229390095193627,"Less than 5% change"
"bunodactis spp.",0.0372284601651174,0.0013,0.0278071472566532,"Less than 5% change"
"Oulactis concinnata",0.0372284601655393,0.0013,0.0278071466973229,"Less than 5% change"
"jhelius cirratus",-0.111288319295266,0.0013,-0.127877127856824,"Less than 5% change"
"lessonia nigrescens a",-19.4510984760688,0.0013,-19.5312720391278,"Decrease"
"nothobalanus flosculus",0.158398665760684,0.0013,0.580464665374403,"Less than 5% change"
"nothochthamalus scabrosus",-0.106012580512083,0.0013,-0.126351346647502,"Less than 5% change"
"parantheopsis ",0.0372284601659389,0.0013,0.0278071460985352,"Less than 5% change"
"perumytilus purpuratus",0.310116703044749,0.0013,0.336242151328858,"Less than 5% change"
"phragmatopoma spp.",-0.00116288115750152,0.0013,-0.0194290540639241,"Less than 5% change"
"phymactis spp.",0.0372284601651618,0.0013,0.027807147207759,"Less than 5% change"
"pyura chilensis",-0.00112592976836412,0.0013,-0.0188647980896128,"Less than 5% change"
"semimytilus algosus",0.15925112742059,0.0013,0.165448900047038,"Less than 5% change"
"gulls",0.0383959244085519,0.0013,0.0756148662131251,"Less than 5% change"
"cinclodes nigrofumosus",0.000255536418913849,0.0013,0.00439656160504676,"Less than 5% change"
"Echinolittorina peruviana",-0.161395838517253,0.0013,0,"Less than 5% change"
"austrolittorina araucana",-0.160947173859538,0.0013,0,"Less than 5% change"
"onchidella sp. ",-0.160168779774228,0.0013,0,"Less than 5% change"
"Allelopetrolisthes punctatus",-0.000378829356695309,0.0013,-0.00118397409157867,"Less than 5% change"
"petrolisthes spinifrons",-0.000378829356839638,0.0013,-0.00118397409158977,"Less than 5% change"
"petrolisthes angulosus",-0.000378829356595389,0.0013,-0.00118397409151205,"Less than 5% change"
"petrolisthes tuberculatus",-0.000378829356606492,0.0013,-0.00118397409131221,"Less than 5% change"
"petrolisthes tuberculosus",-0.000378829356850741,0.0013,-0.00118397409136772,"Less than 5% change"
"trimusculus peruvianus",-0.160171813537502,0.0013,0,"Less than 5% change"
"lessonia nigrescens j",196.126944896417,0.0013,200.260252313204,"Increase"
"algae",-0.109713196487393,0.0013,-55.4529467193212,"Decrease"
"acanthina monodon",0.0336147349659477,0.0014,0.0241668332401801,"Less than 5% change"
"acanthocyclus gayi",0.0187216570261439,0.0014,0.00499175739934188,"Less than 5% change"
"acanthocyclus hassleri",0.0187569167316548,0.0014,0.00501898589200245,"Less than 5% change"
"acanthopleura echinata",-0.0770770712181013,0.0014,-0.0672669217346322,"Less than 5% change"
"chaetopleura peruviana",0.0658763418329711,0.0014,0.0776484797495813,"Less than 5% change"
"chiton  cummingsi",0.386618330155231,0.0014,1.38903883623949,"Less than 5% change"
"chiton  granosus",0.222591098697311,0.0014,0.187291299657044,"Less than 5% change"
"chiton  latus",0.364515458685832,0.0014,1.41758425700267,"Less than 5% change"
"lottia  orbignyi",0.37680507819553,0.0014,1.3972924211719,"Less than 5% change"
"concholepas concholepas",0.012174612539817,0.0014,-0.00379325640021966,"Less than 5% change"
"enoplochiton  niger",-0.169675052058005,0.0014,-0.113627650891313,"Less than 5% change"
"fissurella  costata",-0.400002558534629,0.0014,-0.393348439967411,"Less than 5% change"
"fissurella  crassa",-0.281227091034353,0.0014,-0.255292390475514,"Less than 5% change"
"fissurella  cummingi",-0.254267979570211,0.0014,-0.218462823423504,"Less than 5% change"
"fissurella  limbata",0.475123777764108,0.0014,0.673914467612446,"Less than 5% change"
"fissurella  maxima",-0.222326567967401,0.0014,-0.177178588913596,"Less than 5% change"
"fissurella  picta",-0.246458794276494,0.0014,-0.207429672178638,"Less than 5% change"
"fissurella  puhlcra",-0.246458794276516,0.0014,-0.207429672025083,"Less than 5% change"
"heliaster helianthus",0.0117549691753371,0.0014,-0.00358606275374651,"Less than 5% change"
"scurria  araucana",0.377295494817398,0.0014,1.39708596360704,"Less than 5% change"
"scurria  ceciliana",0.381419778594294,0.0014,1.39257594430735,"Less than 5% change"
"scurria  plana",0.377352213552129,0.0014,1.39337305998384,"Less than 5% change"
"scurria scurra",-32.7826999381218,0.0014,-33.5988304115321,"Decrease"
"scurria variabilis",0.398448435084608,0.0014,1.38709964850303,"Less than 5% change"
"scurria viridula",0.420208770737185,0.0014,1.39045872815449,"Less than 5% change"
"scurria zebrina",0.42470044406544,0.0014,1.3932120184762,"Less than 5% change"
"siphonaria lesoni",0.361705169592486,0.0014,1.42755739229972,"Less than 5% change"
"stichaster striatus",0.0340622050904571,0.0014,0.0243312972694865,"Less than 5% change"
"tegula atra",4.97266222161905,0.0014,0,"Less than 5% change"
"Tonicia lineolata",-0.516539868736798,0.0014,-1.35779585332596,"Less than 5% change"
"tonicia  chilensis",-0.516539868736798,0.0014,-1.35779585324027,"Less than 5% change"
"tonicia  elegans",-0.516539868736776,0.0014,-1.357795853219,"Less than 5% change"
"anthotoe spp.",0.0372284601659389,0.0014,0.0278078659751824,"Less than 5% change"
"austromegabalanus psittacus",0.0114622365748218,0.0014,-0.0176162870658136,"Less than 5% change"
"balanus laevis",0.26016471679855,0.0014,1.16639816635766,"Less than 5% change"
"brachidontes granulata",-0.00139603245047359,0.0014,-0.0229363215572653,"Less than 5% change"
"bunodactis spp.",0.0372284601651174,0.0014,0.0278078689433192,"Less than 5% change"
"Oulactis concinnata",0.0372284601655393,0.0014,0.0278078674539106,"Less than 5% change"
"jhelius cirratus",-0.111288319295266,0.0014,-0.127985402440944,"Less than 5% change"
"lessonia nigrescens a",-19.4510984760688,0.0014,-19.5312717247371,"Decrease"
"nothobalanus flosculus",0.158398665760684,0.0014,0.58036301584119,"Less than 5% change"
"nothochthamalus scabrosus",-0.106012580512083,0.0014,-0.126454248269214,"Less than 5% change"
"parantheopsis ",0.0372284601659389,0.0014,0.0278078659424974,"Less than 5% change"
"perumytilus purpuratus",0.310116703044749,0.0014,0.33620233781535,"Less than 5% change"
"phragmatopoma spp.",-0.00116288115750152,0.0014,-0.0194264674589051,"Less than 5% change"
"phymactis spp.",0.0372284601651618,0.0014,0.0278078687448335,"Less than 5% change"
"pyura chilensis",-0.00112592976836412,0.0014,-0.0188618717836486,"Less than 5% change"
"semimytilus algosus",0.15925112742059,0.0014,0.165428112435406,"Less than 5% change"
"gulls",0.0383959244085519,0.0014,0.0755159768494718,"Less than 5% change"
"cinclodes nigrofumosus",0.000255536418913849,0.0014,0.0042319652095113,"Less than 5% change"
"Echinolittorina peruviana",-0.161395838517253,0.0014,0,"Less than 5% change"
"austrolittorina araucana",-0.160947173859538,0.0014,0,"Less than 5% change"
"onchidella sp. ",-0.160168779774228,0.0014,0,"Less than 5% change"
"Allelopetrolisthes punctatus",-0.000378829356695309,0.0014,-0.00135715824980398,"Less than 5% change"
"petrolisthes spinifrons",-0.000378829356839638,0.0014,-0.00135715699753902,"Less than 5% change"
"petrolisthes angulosus",-0.000378829356595389,0.0014,-0.0013571617878072,"Less than 5% change"
"petrolisthes tuberculatus",-0.000378829356606492,0.0014,-0.00135715983317075,"Less than 5% change"
"petrolisthes tuberculosus",-0.000378829356850741,0.0014,-0.00135715888454069,"Less than 5% change"
"trimusculus peruvianus",-0.160171813537502,0.0014,0,"Less than 5% change"
"lessonia nigrescens j",196.126944896417,0.0014,200.260240294545,"Increase"
"algae",-0.109713196487393,0.0014,-51.1339098980386,"Decrease"
"acanthina monodon",0.0336147349659477,0.0015,0.024182130632866,"Less than 5% change"
"acanthocyclus gayi",0.0187216570261439,0.0015,0.00498161660238416,"Less than 5% change"
"acanthocyclus hassleri",0.0187569167316548,0.0015,0.00503062896453077,"Less than 5% change"
"acanthopleura echinata",-0.0770770712181013,0.0015,-0.0672539597945443,"Less than 5% change"
"chaetopleura peruviana",0.0658763418329711,0.0015,0.0776586538927981,"Less than 5% change"
"chiton  cummingsi",0.386618330155231,0.0015,1.38904315127308,"Less than 5% change"
"chiton  granosus",0.222591098697311,0.0015,0.187338147476113,"Less than 5% change"
"chiton  latus",0.364515458685832,0.0015,1.41758373358449,"Less than 5% change"
"lottia  orbignyi",0.37680507819553,0.0015,1.39730170167067,"Less than 5% change"
"concholepas concholepas",0.012174612539817,0.0015,-0.00378768249327255,"Less than 5% change"
"enoplochiton  niger",-0.169675052058005,0.0015,-0.113595719875559,"Less than 5% change"
"fissurella  costata",-0.400002558534629,0.0015,-0.39330864845798,"Less than 5% change"
"fissurella  crassa",-0.281227091034353,0.0015,-0.255261664726791,"Less than 5% change"
"fissurella  cummingi",-0.254267979570211,0.0015,-0.218423264593259,"Less than 5% change"
"fissurella  limbata",0.475123777764108,0.0015,0.673949636118376,"Less than 5% change"
"fissurella  maxima",-0.222326567967401,0.0015,-0.177139242463664,"Less than 5% change"
"fissurella  picta",-0.246458794276494,0.0015,-0.2073901702347,"Less than 5% change"
"fissurella  puhlcra",-0.246458794276516,0.0015,-0.20739017022342,"Less than 5% change"
"heliaster helianthus",0.0117549691753371,0.0015,-0.00358974765537479,"Less than 5% change"
"scurria  araucana",0.377295494817398,0.0015,1.39709522017541,"Less than 5% change"
"scurria  ceciliana",0.381419778594294,0.0015,1.39258707810503,"Less than 5% change"
"scurria  plana",0.377352213552129,0.0015,1.39338325491891,"Less than 5% change"
"scurria scurra",-32.7826999381218,0.0015,-33.5988134858136,"Decrease"
"scurria variabilis",0.398448435084608,0.0015,1.38711568778553,"Less than 5% change"
"scurria viridula",0.420208770737185,0.0015,1.39048020907648,"Less than 5% change"
