"sp","value_Pja","p_change","qual_change"
"petrolisthes angulosus",0.001,-50.6547710219075,"Decrease"
"petrolisthes tuberculatus",0.001,-50.6547710219087,"Decrease"
"petrolisthes tuberculosus",0.001,-50.6547710219085,"Decrease"
"trimusculus peruvianus",0.001,-65.8829075277123,"Decrease"
"lessonia nigrescens j",0.001,89.6956307148125,"Increase"
"algae",0.001,-1.56111917298589,"Less than 5% change"
"acanthina monodon",0.002,-4.59021657866269,"Less than 5% change"
"acanthocyclus gayi",0.002,2.29286645696551,"Less than 5% change"
"acanthocyclus hassleri",0.002,-3.47439997031006,"Less than 5% change"
"acanthopleura echinata",0.002,-6.6031339517626,"Decrease"
"chaetopleura peruviana",0.002,-2.68539697164909,"Less than 5% change"
"chiton  cummingsi",0.002,1.67709216218972,"Less than 5% change"
"chiton  granosus",0.002,-13.2615792553732,"Decrease"
"chiton  latus",0.002,3.36571816153997,"Less than 5% change"
"lottia  orbignyi",0.002,-0.0806012055396876,"Less than 5% change"
"concholepas concholepas",0.002,-2.86600817730612,"Less than 5% change"
"enoplochiton  niger",0.002,-11.5338536054453,"Decrease"
"fissurella  costata",0.002,-12.9537864335746,"Decrease"
"fissurella  crassa",0.002,-12.2322954715603,"Decrease"
"fissurella  cummingi",0.002,-12.0539631097184,"Decrease"
"fissurella  limbata",0.002,-10.8458904218485,"Decrease"
"fissurella  maxima",0.002,-11.8071017210039,"Decrease"
"fissurella  picta",0.002,-11.9934829621541,"Decrease"
"fissurella  puhlcra",0.002,-11.9934829621541,"Decrease"
"heliaster helianthus",0.002,2.27956947227608,"Less than 5% change"
"scurria  araucana",0.002,-0.0543299932482699,"Less than 5% change"
"scurria  ceciliana",0.002,-0.717468148968048,"Less than 5% change"
"scurria  plana",0.002,-0.404742566101968,"Less than 5% change"
"scurria scurra",0.002,-100,"Decrease"
"scurria variabilis",0.002,-2.37906346892688,"Less than 5% change"
"scurria viridula",0.002,-4.18765401974444,"Less than 5% change"
"scurria zebrina",0.002,-4.8342841251944,"Less than 5% change"
"siphonaria lesoni",0.002,3.74938285953652,"Less than 5% change"
"stichaster striatus",0.002,6.53205044560254,"Increase"
"tegula atra",0.002,97.5297184083196,"Increase"
"Tonicia lineolata",0.002,-2.44906225179743,"Less than 5% change"
"tonicia  chilensis",0.002,-2.44906225179742,"Less than 5% change"
"tonicia  elegans",0.002,-2.44906225179742,"Less than 5% change"
"anthotoe spp.",0.002,2.67303907534238,"Less than 5% change"
"austromegabalanus psittacus",0.002,-1.34620841450102,"Less than 5% change"
"balanus laevis",0.002,5.23593809031426,"Increase"
"brachidontes granulata",0.002,-0.159037043582355,"Less than 5% change"
"bunodactis spp.",0.002,2.67303907537373,"Less than 5% change"
"Oulactis concinnata",0.002,2.67303907534966,"Less than 5% change"
"jhelius cirratus",0.002,-36.3696732328247,"Decrease"
"lessonia nigrescens a",0.002,-73.5283788637771,"Decrease"
"nothobalanus flosculus",0.002,-34.1152300752185,"Decrease"
"nothochthamalus scabrosus",0.002,-35.5603676763913,"Decrease"
"parantheopsis ",0.002,2.67303907534238,"Less than 5% change"
"perumytilus purpuratus",0.002,-18.2474283303011,"Decrease"
"phragmatopoma spp.",0.002,0.779148600922808,"Less than 5% change"
"phymactis spp.",0.002,2.67303907537086,"Less than 5% change"
"pyura chilensis",0.002,0.860971574527825,"Less than 5% change"
"semimytilus algosus",0.002,-9.31539516658515,"Decrease"
"gulls",0.002,-38.6384988566444,"Decrease"
"cinclodes nigrofumosus",0.002,-49.0497532209248,"Decrease"
"Echinolittorina peruviana",0.002,-100,"Decrease"
"austrolittorina araucana",0.002,-100,"Decrease"
"onchidella sp. ",0.002,-61.6013700013811,"Decrease"
"Allelopetrolisthes punctatus",0.002,-50.6545403896738,"Decrease"
"petrolisthes spinifrons",0.002,-50.6545403896695,"Decrease"
"petrolisthes angulosus",0.002,-50.6545403896672,"Decrease"
"petrolisthes tuberculatus",0.002,-50.6545403896872,"Decrease"
"petrolisthes tuberculosus",0.002,-50.6545403895895,"Decrease"
"trimusculus peruvianus",0.002,-61.232158805856,"Decrease"
"lessonia nigrescens j",0.002,107.500379854145,"Increase"
"algae",0.002,-1.82554217949478,"Less than 5% change"
"acanthina monodon",0.003,-4.58913790491359,"Less than 5% change"
"acanthocyclus gayi",0.003,2.29563120566352,"Less than 5% change"
"acanthocyclus hassleri",0.003,-3.47181743159884,"Less than 5% change"
"acanthopleura echinata",0.003,-6.58950570983149,"Decrease"
"chaetopleura peruviana",0.003,-2.68793190279065,"Less than 5% change"
"chiton  cummingsi",0.003,1.59804808631681,"Less than 5% change"
"chiton  granosus",0.003,-13.2778771253925,"Decrease"
"chiton  latus",0.003,3.2813751906092,"Less than 5% change"
"lottia  orbignyi",0.003,-0.160723509257787,"Less than 5% change"
"concholepas concholepas",0.003,-2.86279843047416,"Less than 5% change"
"enoplochiton  niger",0.003,-11.5113615919146,"Decrease"
"fissurella  costata",0.003,-12.8986531011092,"Decrease"
"fissurella  crassa",0.003,-12.1939038507272,"Decrease"
"fissurella  cummingi",0.003,-12.0191387574566,"Decrease"
"fissurella  limbata",0.003,-10.8095890120941,"Decrease"
"fissurella  maxima",0.003,-11.7770388586018,"Decrease"
"fissurella  picta",0.003,-11.9599289323897,"Decrease"
"fissurella  puhlcra",0.003,-11.9599289323887,"Decrease"
"heliaster helianthus",0.003,2.28285474518983,"Less than 5% change"
"scurria  araucana",0.003,-0.134589116549355,"Less than 5% change"
"scurria  ceciliana",0.003,-0.796799646146695,"Less than 5% change"
"scurria  plana",0.003,-0.48439906141059,"Less than 5% change"
"scurria scurra",0.003,-100,"Decrease"
"scurria variabilis",0.003,-2.45645846176961,"Less than 5% change"
"scurria viridula",0.003,-4.26358996901793,"Less than 5% change"
"scurria zebrina",0.003,-4.90992942524936,"Less than 5% change"
"siphonaria lesoni",0.003,3.66363747031353,"Less than 5% change"
"stichaster striatus",0.003,6.53332176035049,"Increase"
"tegula atra",0.003,105.408224409148,"Increase"
"Tonicia lineolata",0.003,-2.40519626821685,"Less than 5% change"
"tonicia  chilensis",0.003,-2.40519626821194,"Less than 5% change"
"tonicia  elegans",0.003,-2.40519626821623,"Less than 5% change"
"anthotoe spp.",0.003,2.67393750799678,"Less than 5% change"
"austromegabalanus psittacus",0.003,-1.34122248710999,"Less than 5% change"
"balanus laevis",0.003,5.16383926524966,"Increase"
"brachidontes granulata",0.003,-0.154253065208931,"Less than 5% change"
"bunodactis spp.",0.003,2.67393750800027,"Less than 5% change"
"Oulactis concinnata",0.003,2.67393750799689,"Less than 5% change"
"jhelius cirratus",0.003,-36.3762790309559,"Decrease"
"lessonia nigrescens a",0.003,-67.3739606892503,"Decrease"
"nothobalanus flosculus",0.003,-34.1298160420488,"Decrease"
"nothochthamalus scabrosus",0.003,-35.5660822124186,"Decrease"
"parantheopsis ",0.003,2.67393750800506,"Less than 5% change"
"perumytilus purpuratus",0.003,-18.271378455928,"Decrease"
"phragmatopoma spp.",0.003,0.783257224371847,"Less than 5% change"
"phymactis spp.",0.003,2.67393750799572,"Less than 5% change"
"pyura chilensis",0.003,0.864967066004252,"Less than 5% change"
"semimytilus algosus",0.003,-9.33091763127018,"Decrease"
"gulls",0.003,-38.6494174392418,"Decrease"
"cinclodes nigrofumosus",0.003,-49.0507237903997,"Decrease"
"Echinolittorina peruviana",0.003,-100,"Decrease"
"austrolittorina araucana",0.003,-100,"Decrease"
"onchidella sp. ",0.003,-57.5352284766724,"Decrease"
"Allelopetrolisthes punctatus",0.003,-50.6543553085383,"Decrease"
"petrolisthes spinifrons",0.003,-50.6543553085545,"Decrease"
"petrolisthes angulosus",0.003,-50.6543553085522,"Decrease"
"petrolisthes tuberculatus",0.003,-50.6543553085382,"Decrease"
"petrolisthes tuberculosus",0.003,-50.6543553085859,"Decrease"
"trimusculus peruvianus",0.003,-57.217229384185,"Decrease"
"lessonia nigrescens j",0.003,118.69214367457,"Increase"
"algae",0.003,-1.92773671254124,"Less than 5% change"
"acanthina monodon",0.004,-3.26315894603612,"Less than 5% change"
"acanthocyclus gayi",0.004,0.378064371472475,"Less than 5% change"
"acanthocyclus hassleri",0.004,-2.46467701125728,"Less than 5% change"
"acanthopleura echinata",0.004,-4.83205228847101,"Less than 5% change"
"chaetopleura peruviana",0.004,-2.24178715940013,"Less than 5% change"
"chiton  cummingsi",0.004,1.48346610637493,"Less than 5% change"
"chiton  granosus",0.004,-8.81908046132227,"Decrease"
"chiton  latus",0.004,2.6004835168224,"Less than 5% change"
"lottia  orbignyi",0.004,0.458391078290177,"Less than 5% change"
"concholepas concholepas",0.004,-1.99141494725227,"Less than 5% change"
"enoplochiton  niger",0.004,-7.89559846408182,"Decrease"
"fissurella  costata",0.004,-9.17087529636818,"Decrease"
"fissurella  crassa",0.004,-8.57262581141012,"Decrease"
"fissurella  cummingi",0.004,-8.32052467269094,"Decrease"
"fissurella  limbata",0.004,-7.11509617020281,"Decrease"
"fissurella  maxima",0.004,-8.12831128989989,"Decrease"
"fissurella  picta",0.004,-8.27344153641245,"Decrease"
"fissurella  puhlcra",0.004,-8.27344153641245,"Decrease"
"heliaster helianthus",0.004,1.50795680200033,"Less than 5% change"
"scurria  araucana",0.004,0.476547014085327,"Less than 5% change"
"scurria  ceciliana",0.004,0.052112107676705,"Less than 5% change"
"scurria  plana",0.004,0.250133396854602,"Less than 5% change"
"scurria scurra",0.004,-100,"Decrease"
"scurria variabilis",0.004,-1.00622210881043,"Less than 5% change"
"scurria viridula",0.004,-2.15224178781961,"Less than 5% change"
"scurria zebrina",0.004,-2.51347687272786,"Less than 5% change"
"siphonaria lesoni",0.004,2.88571939942088,"Less than 5% change"
"stichaster striatus",0.004,2.08984040838855,"Less than 5% change"
"tegula atra",0.004,116.811392693432,"Increase"
"Tonicia lineolata",0.004,-2.77655387223703,"Less than 5% change"
"tonicia  chilensis",0.004,-2.77655387223701,"Less than 5% change"
"tonicia  elegans",0.004,-2.77655387223706,"Less than 5% change"
"anthotoe spp.",0.004,2.98337335072034,"Less than 5% change"
"austromegabalanus psittacus",0.004,-1.38413265190656,"Less than 5% change"
"balanus laevis",0.004,3.77195108148234,"Less than 5% change"
"brachidontes granulata",0.004,-0.246031447583384,"Less than 5% change"
"bunodactis spp.",0.004,2.98337335072023,"Less than 5% change"
"Oulactis concinnata",0.004,2.9833733507203,"Less than 5% change"
"jhelius cirratus",0.004,-24.806104114951,"Decrease"
"lessonia nigrescens a",0.004,-62.7201649093993,"Decrease"
"nothobalanus flosculus",0.004,-22.9548522303801,"Decrease"
"nothochthamalus scabrosus",0.004,-24.4564610534027,"Decrease"
"parantheopsis ",0.004,2.98337335072032,"Less than 5% change"
"perumytilus purpuratus",0.004,-12.3786871202938,"Decrease"
"phragmatopoma spp.",0.004,0.668071271656445,"Less than 5% change"
"phymactis spp.",0.004,2.98337335072032,"Less than 5% change"
"pyura chilensis",0.004,0.697123878330586,"Less than 5% change"
"semimytilus algosus",0.004,-6.08841092836923,"Decrease"
"gulls",0.004,-28.2407887660083,"Decrease"
"cinclodes nigrofumosus",0.004,-35.474101471676,"Decrease"
"Echinolittorina peruviana",0.004,-100,"Decrease"
"austrolittorina araucana",0.004,-99.5714212002834,"Decrease"
"onchidella sp. ",0.004,-64.0379010742051,"Decrease"
"Allelopetrolisthes punctatus",0.004,-36.7765197809164,"Decrease"
"petrolisthes spinifrons",0.004,-36.7765197809163,"Decrease"
"petrolisthes angulosus",0.004,-36.7765197809167,"Decrease"
"petrolisthes tuberculatus",0.004,-36.7765197809165,"Decrease"
"petrolisthes tuberculosus",0.004,-36.7765197809169,"Decrease"
"trimusculus peruvianus",0.004,-63.7348103042146,"Decrease"
"lessonia nigrescens j",0.004,126.656715026443,"Increase"
"algae",0.004,-2.32569320772348,"Less than 5% change"
"acanthina monodon",0.005,-2.46486695568361,"Less than 5% change"
"acanthocyclus gayi",0.005,3.97565129745818,"Less than 5% change"
"acanthocyclus hassleri",0.005,-1.86641799952468,"Less than 5% change"
"acanthopleura echinata",0.005,-3.58725662029445,"Less than 5% change"
"chaetopleura peruviana",0.005,-0.631102322494981,"Less than 5% change"
"chiton  cummingsi",0.005,1.73433741794777,"Less than 5% change"
"chiton  granosus",0.005,-8.28065794343274,"Decrease"
"chiton  latus",0.005,2.67413442824307,"Less than 5% change"
"lottia  orbignyi",0.005,0.498488342833414,"Less than 5% change"
"concholepas concholepas",0.005,-1.60879620904476,"Less than 5% change"
"enoplochiton  niger",0.005,-7.62114776549504,"Decrease"
"fissurella  costata",0.005,-8.47946640291612,"Decrease"
"fissurella  crassa",0.005,-7.9461344808777,"Decrease"
"fissurella  cummingi",0.005,-8.02313239757628,"Decrease"
"fissurella  limbata",0.005,-6.50505477901759,"Decrease"
"fissurella  maxima",0.005,-7.83280193531301,"Decrease"
"fissurella  picta",0.005,-7.97654540889569,"Decrease"
"fissurella  puhlcra",0.005,-7.97654540889575,"Decrease"
"heliaster helianthus",0.005,1.59106391650878,"Less than 5% change"
"scurria  araucana",0.005,0.516079396806957,"Less than 5% change"
"scurria  ceciliana",0.005,0.105029185230832,"Less than 5% change"
"scurria  plana",0.005,0.296656240422943,"Less than 5% change"
"scurria scurra",0.005,-99.983027795797,"Decrease"
"scurria variabilis",0.005,-0.918180492110743,"Less than 5% change"
"scurria viridula",0.005,-2.02296979337967,"Less than 5% change"
"scurria zebrina",0.005,-2.54006410926334,"Less than 5% change"
"siphonaria lesoni",0.005,2.83491772070952,"Less than 5% change"
"stichaster striatus",0.005,8.86411822531155,"Increase"
"tegula atra",0.005,119.601418434739,"Increase"
"Tonicia lineolata",0.005,-2.64063360895813,"Less than 5% change"
"tonicia  chilensis",0.005,-2.64063360895813,"Less than 5% change"
"tonicia  elegans",0.005,-2.6406336089581,"Less than 5% change"
"anthotoe spp.",0.005,-0.414306620612293,"Less than 5% change"
"austromegabalanus psittacus",0.005,0.194364408982128,"Less than 5% change"
"balanus laevis",0.005,3.76155646064691,"Less than 5% change"
"brachidontes granulata",0.005,0.232673922941751,"Less than 5% change"
"bunodactis spp.",0.005,-0.414306620612193,"Less than 5% change"
"Oulactis concinnata",0.005,-0.414306620612237,"Less than 5% change"
"jhelius cirratus",0.005,-26.0744244029955,"Decrease"
"lessonia nigrescens a",0.005,-59.0128179617259,"Decrease"
"nothobalanus flosculus",0.005,-23.6109056557618,"Decrease"
"nothochthamalus scabrosus",0.005,-24.985433817628,"Decrease"
"parantheopsis ",0.005,-0.414306620612293,"Less than 5% change"
"perumytilus purpuratus",0.005,-11.5910571125105,"Decrease"
"phragmatopoma spp.",0.005,0.266529426543771,"Less than 5% change"
"phymactis spp.",0.005,-0.414306620612237,"Less than 5% change"
"pyura chilensis",0.005,0.367751716381681,"Less than 5% change"
"semimytilus algosus",0.005,-5.80452994086829,"Decrease"
"gulls",0.005,-28.0480389521404,"Decrease"
"cinclodes nigrofumosus",0.005,-35.4813025498916,"Decrease"
"Echinolittorina peruviana",0.005,-100,"Decrease"
"austrolittorina araucana",0.005,-100,"Decrease"
"onchidella sp. ",0.005,-66.779908018524,"Decrease"
"Allelopetrolisthes punctatus",0.005,-36.7784296630835,"Decrease"
"petrolisthes spinifrons",0.005,-36.778429663084,"Decrease"
"petrolisthes angulosus",0.005,-36.7784296630865,"Decrease"
"petrolisthes tuberculatus",0.005,-36.7784296630844,"Decrease"
"petrolisthes tuberculosus",0.005,-36.7784296630864,"Decrease"
"trimusculus peruvianus",0.005,-66.4658245786521,"Decrease"
"lessonia nigrescens j",0.005,132.725855130994,"Increase"
"algae",0.005,-2.5682225237646,"Less than 5% change"
"acanthina monodon",0.006,-1.14511574880288,"Less than 5% change"
"acanthocyclus gayi",0.006,1.99509053731561,"Less than 5% change"
"acanthocyclus hassleri",0.006,-0.870229571747094,"Less than 5% change"
"acanthopleura echinata",0.006,-1.82233206586383,"Less than 5% change"
"chaetopleura peruviana",0.006,-0.181680504093651,"Less than 5% change"
"chiton  cummingsi",0.006,1.71772183713059,"Less than 5% change"
"chiton  granosus",0.006,-3.77950575661257,"Less than 5% change"
"chiton  latus",0.006,2.11254944700725,"Less than 5% change"
"lottia  orbignyi",0.006,1.11156504465766,"Less than 5% change"
"concholepas concholepas",0.006,-0.753138112525431,"Less than 5% change"
"enoplochiton  niger",0.006,-3.97568380707515,"Less than 5% change"
"fissurella  costata",0.006,-4.70894023745251,"Less than 5% change"
"fissurella  crassa",0.006,-4.28577073863319,"Less than 5% change"
"fissurella  cummingi",0.006,-4.29331435646239,"Less than 5% change"
"fissurella  limbata",0.006,-2.77244746549865,"Less than 5% change"
"fissurella  maxima",0.006,-4.15407383074249,"Less than 5% change"
"fissurella  picta",0.006,-4.2587696698399,"Less than 5% change"
"fissurella  puhlcra",0.006,-4.25876966984013,"Less than 5% change"
"heliaster helianthus",0.006,0.828394315146808,"Less than 5% change"
"scurria  araucana",0.006,1.12158359081085,"Less than 5% change"
"scurria  ceciliana",0.006,0.935212056581136,"Less than 5% change"
"scurria  plana",0.006,1.01859869212506,"Less than 5% change"
"scurria scurra",0.006,-99.3247241100305,"Decrease"
"scurria variabilis",0.006,0.487494402277622,"Less than 5% change"
"scurria viridula",0.006,0.0259259979078941,"Less than 5% change"
"scurria zebrina",0.006,-0.216573150686972,"Less than 5% change"
"siphonaria lesoni",0.006,2.18179239987488,"Less than 5% change"
"stichaster striatus",0.006,4.28084640236268,"Less than 5% change"
"tegula atra",0.006,128.128887513858,"Increase"
"Tonicia lineolata",0.006,-2.97579488449748,"Less than 5% change"
"tonicia  chilensis",0.006,-2.97579488449892,"Less than 5% change"
"tonicia  elegans",0.006,-2.97579488449881,"Less than 5% change"
"anthotoe spp.",0.006,-0.118205055700848,"Less than 5% change"
"austromegabalanus psittacus",0.006,0.150736353702952,"Less than 5% change"
"balanus laevis",0.006,2.43426379280012,"Less than 5% change"
"brachidontes granulata",0.006,0.138844515320491,"Less than 5% change"
"bunodactis spp.",0.006,-0.118205055701037,"Less than 5% change"
"Oulactis concinnata",0.006,-0.118205055701981,"Less than 5% change"
"jhelius cirratus",0.006,-13.7838644692316,"Decrease"
"lessonia nigrescens a",0.006,-55.9744805725264,"Decrease"
"nothobalanus flosculus",0.006,-11.7663911114699,"Decrease"
"nothochthamalus scabrosus",0.006,-13.1514841818252,"Decrease"
"parantheopsis ",0.006,-0.118205055701215,"Less than 5% change"
"perumytilus purpuratus",0.006,-5.37208668545933,"Decrease"
"phragmatopoma spp.",0.006,0.149146676770773,"Less than 5% change"
"phymactis spp.",0.006,-0.118205055702647,"Less than 5% change"
"pyura chilensis",0.006,0.197611486938043,"Less than 5% change"
"semimytilus algosus",0.006,-2.60064491286383,"Less than 5% change"
"gulls",0.006,-15.3006553720109,"Decrease"
"cinclodes nigrofumosus",0.006,-19.2430580136566,"Decrease"
"Echinolittorina peruviana",0.006,-100,"Decrease"
"austrolittorina araucana",0.006,-99.8430082659408,"Decrease"
"onchidella sp. ",0.006,-72.153537645448,"Decrease"
"Allelopetrolisthes punctatus",0.006,-20.0266624776117,"Decrease"
"petrolisthes spinifrons",0.006,-20.0266624776137,"Decrease"
"petrolisthes angulosus",0.006,-20.0266624776141,"Decrease"
"petrolisthes tuberculatus",0.006,-20.0266624776221,"Decrease"
"petrolisthes tuberculosus",0.006,-20.0266624776262,"Decrease"
"trimusculus peruvianus",0.006,-71.8515605425869,"Decrease"
"lessonia nigrescens j",0.006,137.606681981023,"Increase"
"algae",0.006,-2.90070487815755,"Less than 5% change"
"acanthina monodon",0.007,-1.1473359039507,"Less than 5% change"
"acanthocyclus gayi",0.007,1.99427978643432,"Less than 5% change"
"acanthocyclus hassleri",0.007,-0.871024014430544,"Less than 5% change"
"acanthopleura echinata",0.007,-1.81571347714843,"Less than 5% change"
"chaetopleura peruviana",0.007,-0.186815931724482,"Less than 5% change"
"chiton  cummingsi",0.007,1.65069456204827,"Less than 5% change"
"chiton  granosus",0.007,-3.79698739820897,"Less than 5% change"
"chiton  latus",0.007,2.04589476467896,"Less than 5% change"
"lottia  orbignyi",0.007,1.04520397956349,"Less than 5% change"
"concholepas concholepas",0.007,-0.753291182198979,"Less than 5% change"
"enoplochiton  niger",0.007,-3.96225803883796,"Less than 5% change"
"fissurella  costata",0.007,-4.67338454487868,"Less than 5% change"
"fissurella  crassa",0.007,-4.26153244373411,"Less than 5% change"
"fissurella  cummingi",0.007,-4.27150614030523,"Less than 5% change"
"fissurella  limbata",0.007,-2.77655100290247,"Less than 5% change"
"fissurella  maxima",0.007,-4.13543412574862,"Less than 5% change"
"fissurella  picta",0.007,-4.23778414581433,"Less than 5% change"
"fissurella  puhlcra",0.007,-4.23778414581434,"Less than 5% change"
"heliaster helianthus",0.007,0.828219796189145,"Less than 5% change"
"scurria  araucana",0.007,1.05512477440697,"Less than 5% change"
"scurria  ceciliana",0.007,0.86866557199794,"Less than 5% change"
"scurria  plana",0.007,0.952255479272601,"Less than 5% change"
"scurria scurra",0.007,-97.1648530360633,"Decrease"
"scurria variabilis",0.007,0.420007226569963,"Less than 5% change"
