"sp","value_rmodificator","p_change","qual_change"
"lessonia nigrescens a",3e-04,-100,"Decrease"
"nothobalanus flosculus",3e-04,-30.69450859,"Decrease"
"nothochthamalus scabrosus",3e-04,-26.86100964,"Decrease"
"parantheopsis ",3e-04,8.416370877,"Increase"
"perumytilus purpuratus",3e-04,-12.31280849,"Decrease"
"phragmatopoma spp.",3e-04,4.52919434,"Less than 5% change"
"phymactis spp.",3e-04,8.416370877,"Increase"
"pyura chilensis",3e-04,4.568188871,"Less than 5% change"
"semimytilus algosus",3e-04,-4.385473794,"Less than 5% change"
"gulls",3e-04,-36.65134641,"Decrease"
"cinclodes nigrofumosus",3e-04,-49.07391031,"Decrease"
"Echinolittorina peruviana",3e-04,-100,"Decrease"
"austrolittorina araucana",3e-04,-100,"Decrease"
"onchidella sp. ",3e-04,-100,"Decrease"
"Allelopetrolisthes punctatus",3e-04,-50.67547979,"Decrease"
"petrolisthes spinifrons",3e-04,-50.67547979,"Decrease"
"petrolisthes angulosus",3e-04,-50.67547979,"Decrease"
"petrolisthes tuberculatus",3e-04,-50.67547979,"Decrease"
"petrolisthes tuberculosus",3e-04,-50.67547979,"Decrease"
"trimusculus peruvianus",3e-04,-100,"Decrease"
"lessonia nigrescens j",3e-04,-100,"Decrease"
"algae",3e-04,-18.21428791,"Decrease"
"acanthina monodon",4e-04,0.236928988,"Less than 5% change"
"acanthocyclus gayi",4e-04,10.32683339,"Increase"
"acanthocyclus hassleri",4e-04,1.01137915,"Less than 5% change"
"acanthopleura echinata",4e-04,8.523442069,"Increase"
"chaetopleura peruviana",4e-04,2.768254546,"Less than 5% change"
"chiton  cummingsi",4e-04,-6.291731921,"Decrease"
"chiton  granosus",4e-04,-7.210209233,"Decrease"
"chiton  latus",4e-04,-5.348322552,"Decrease"
"lottia  orbignyi",4e-04,-8.135239446,"Decrease"
"concholepas concholepas",4e-04,1.469082855,"Less than 5% change"
"enoplochiton  niger",4e-04,0.433796299,"Less than 5% change"
"fissurella  costata",4e-04,4.647490543,"Less than 5% change"
"fissurella  crassa",4e-04,1.5941089,"Less than 5% change"
"fissurella  cummingi",4e-04,5.000312166,"Increase"
"fissurella  limbata",4e-04,9.952300308,"Increase"
"fissurella  maxima",4e-04,3.820392705,"Less than 5% change"
"fissurella  picta",4e-04,5.19627049,"Increase"
"fissurella  puhlcra",4e-04,5.19627049,"Increase"
"heliaster helianthus",4e-04,6.726540021,"Increase"
"scurria  araucana",4e-04,-8.148358374,"Decrease"
"scurria  ceciliana",4e-04,-8.628678602,"Decrease"
"scurria  plana",4e-04,-8.382323133,"Decrease"
"scurria scurra",4e-04,-100,"Decrease"
"scurria variabilis",4e-04,-9.84277522,"Decrease"
"scurria viridula",4e-04,-11.09457448,"Decrease"
"scurria zebrina",4e-04,-11.58980957,"Decrease"
"siphonaria lesoni",4e-04,-5.13639499,"Decrease"
"stichaster striatus",4e-04,12.01411267,"Increase"
"tegula atra",4e-04,176.8215292,"Increase"
"Tonicia lineolata",4e-04,26.84361736,"Increase"
"tonicia  chilensis",4e-04,26.84361736,"Increase"
"tonicia  elegans",4e-04,26.84361736,"Increase"
"anthotoe spp.",4e-04,8.416371044,"Increase"
"austromegabalanus psittacus",4e-04,4.622767594,"Less than 5% change"
"balanus laevis",4e-04,-3.111378588,"Less than 5% change"
"brachidontes granulata",4e-04,4.291091111,"Less than 5% change"
"bunodactis spp.",4e-04,8.416371044,"Increase"
"Oulactis concinnata",4e-04,8.416371044,"Increase"
"jhelius cirratus",4e-04,-27.95240618,"Decrease"
"lessonia nigrescens a",4e-04,-100,"Decrease"
"nothobalanus flosculus",4e-04,-30.69451512,"Decrease"
"nothochthamalus scabrosus",4e-04,-26.86101649,"Decrease"
"parantheopsis ",4e-04,8.416371044,"Increase"
"perumytilus purpuratus",4e-04,-12.31281081,"Decrease"
"phragmatopoma spp.",4e-04,4.529199425,"Less than 5% change"
"phymactis spp.",4e-04,8.416371044,"Increase"
"pyura chilensis",4e-04,4.568185915,"Less than 5% change"
"semimytilus algosus",4e-04,-4.385476369,"Less than 5% change"
"gulls",4e-04,-36.65134953,"Decrease"
"cinclodes nigrofumosus",4e-04,-49.07391032,"Decrease"
"Echinolittorina peruviana",4e-04,-100,"Decrease"
"austrolittorina araucana",4e-04,-100,"Decrease"
"onchidella sp. ",4e-04,-100,"Decrease"
"Allelopetrolisthes punctatus",4e-04,-50.67547975,"Decrease"
"petrolisthes spinifrons",4e-04,-50.67547975,"Decrease"
"petrolisthes angulosus",4e-04,-50.67547975,"Decrease"
"petrolisthes tuberculatus",4e-04,-50.67547975,"Decrease"
"petrolisthes tuberculosus",4e-04,-50.67547975,"Decrease"
"trimusculus peruvianus",4e-04,-100,"Decrease"
"lessonia nigrescens j",4e-04,-100,"Decrease"
"algae",4e-04,-18.21428987,"Decrease"
"acanthina monodon",5e-04,0.236927891,"Less than 5% change"
"acanthocyclus gayi",5e-04,10.32742773,"Increase"
"acanthocyclus hassleri",5e-04,1.01137404,"Less than 5% change"
"acanthopleura echinata",5e-04,8.523439129,"Increase"
"chaetopleura peruviana",5e-04,2.768248979,"Less than 5% change"
"chiton  cummingsi",5e-04,-6.291729858,"Decrease"
"chiton  granosus",5e-04,-7.21020498,"Decrease"
"chiton  latus",5e-04,-5.348319988,"Decrease"
"lottia  orbignyi",5e-04,-8.135236361,"Decrease"
"concholepas concholepas",5e-04,1.469079884,"Less than 5% change"
"enoplochiton  niger",5e-04,0.433801586,"Less than 5% change"
"fissurella  costata",5e-04,4.647493683,"Less than 5% change"
"fissurella  crassa",5e-04,1.594112294,"Less than 5% change"
"fissurella  cummingi",5e-04,5.000315324,"Increase"
"fissurella  limbata",5e-04,9.95230408,"Increase"
"fissurella  maxima",5e-04,3.820396003,"Less than 5% change"
"fissurella  picta",5e-04,5.196273693,"Increase"
"fissurella  puhlcra",5e-04,5.196273693,"Increase"
"heliaster helianthus",5e-04,6.726539389,"Increase"
"scurria  araucana",5e-04,-8.148355281,"Decrease"
"scurria  ceciliana",5e-04,-8.628675468,"Decrease"
"scurria  plana",5e-04,-8.382320028,"Decrease"
"scurria scurra",5e-04,-100,"Decrease"
"scurria variabilis",5e-04,-9.842771867,"Decrease"
"scurria viridula",5e-04,-11.0945707,"Decrease"
"scurria zebrina",5e-04,-11.58980577,"Decrease"
"siphonaria lesoni",5e-04,-5.13639236,"Decrease"
"stichaster striatus",5e-04,12.01411142,"Increase"
"tegula atra",5e-04,176.821393,"Increase"
"Tonicia lineolata",5e-04,26.8436217,"Increase"
"tonicia  chilensis",5e-04,26.8436217,"Increase"
"tonicia  elegans",5e-04,26.8436217,"Increase"
"anthotoe spp.",5e-04,8.41637137,"Increase"
"austromegabalanus psittacus",5e-04,4.622761958,"Less than 5% change"
"balanus laevis",5e-04,-3.111377156,"Less than 5% change"
"brachidontes granulata",5e-04,4.291091153,"Less than 5% change"
"bunodactis spp.",5e-04,8.416371371,"Increase"
"Oulactis concinnata",5e-04,8.41637137,"Increase"
"jhelius cirratus",5e-04,-27.95239706,"Decrease"
"lessonia nigrescens a",5e-04,-100,"Decrease"
"nothobalanus flosculus",5e-04,-30.69450619,"Decrease"
"nothochthamalus scabrosus",5e-04,-26.8610069,"Decrease"
"parantheopsis ",5e-04,8.41637137,"Increase"
"perumytilus purpuratus",5e-04,-12.31280613,"Decrease"
"phragmatopoma spp.",5e-04,4.529192254,"Less than 5% change"
"phymactis spp.",5e-04,8.416371371,"Increase"
"pyura chilensis",5e-04,4.568190732,"Less than 5% change"
"semimytilus algosus",5e-04,-4.385471727,"Less than 5% change"
"gulls",5e-04,-36.65134463,"Decrease"
"cinclodes nigrofumosus",5e-04,-49.07391032,"Decrease"
"Echinolittorina peruviana",5e-04,-100,"Decrease"
"austrolittorina araucana",5e-04,-100,"Decrease"
"onchidella sp. ",5e-04,-100,"Decrease"
"Allelopetrolisthes punctatus",5e-04,-50.6754798,"Decrease"
"petrolisthes spinifrons",5e-04,-50.6754798,"Decrease"
"petrolisthes angulosus",5e-04,-50.6754798,"Decrease"
"petrolisthes tuberculatus",5e-04,-50.6754798,"Decrease"
"petrolisthes tuberculosus",5e-04,-50.6754798,"Decrease"
"trimusculus peruvianus",5e-04,-100,"Decrease"
"lessonia nigrescens j",5e-04,-100,"Decrease"
"algae",5e-04,-18.21430362,"Decrease"
"acanthina monodon",6e-04,0.236927405,"Less than 5% change"
"acanthocyclus gayi",6e-04,10.32740648,"Increase"
"acanthocyclus hassleri",6e-04,1.011373664,"Less than 5% change"
"acanthopleura echinata",6e-04,8.52343718,"Increase"
"chaetopleura peruviana",6e-04,2.768248822,"Less than 5% change"
"chiton  cummingsi",6e-04,-6.291724483,"Decrease"
"chiton  granosus",6e-04,-7.210206303,"Decrease"
"chiton  latus",6e-04,-5.348313779,"Decrease"
"lottia  orbignyi",6e-04,-8.135230858,"Decrease"
"concholepas concholepas",6e-04,1.469079419,"Less than 5% change"
"enoplochiton  niger",6e-04,0.433800794,"Less than 5% change"
"fissurella  costata",6e-04,4.647491845,"Less than 5% change"
"fissurella  crassa",6e-04,1.594111171,"Less than 5% change"
"fissurella  cummingi",6e-04,5.000313663,"Increase"
"fissurella  limbata",6e-04,9.952303278,"Increase"
"fissurella  maxima",6e-04,3.820394601,"Less than 5% change"
"fissurella  picta",6e-04,5.196272013,"Increase"
"fissurella  puhlcra",6e-04,5.196272013,"Increase"
"heliaster helianthus",6e-04,6.726538831,"Increase"
"scurria  araucana",6e-04,-8.148349783,"Decrease"
"scurria  ceciliana",6e-04,-8.628670161,"Decrease"
"scurria  plana",6e-04,-8.38231462,"Decrease"
"scurria scurra",6e-04,-100,"Decrease"
"scurria variabilis",6e-04,-9.842767132,"Decrease"
"scurria viridula",6e-04,-11.09456672,"Decrease"
"scurria zebrina",6e-04,-11.58980193,"Decrease"
"siphonaria lesoni",6e-04,-5.136385975,"Decrease"
"stichaster striatus",6e-04,12.01411087,"Increase"
"tegula atra",6e-04,176.8215412,"Increase"
"Tonicia lineolata",6e-04,26.84362361,"Increase"
"tonicia  chilensis",6e-04,26.84362361,"Increase"
"tonicia  elegans",6e-04,26.84362361,"Increase"
"anthotoe spp.",6e-04,8.416370734,"Increase"
"austromegabalanus psittacus",6e-04,4.622761344,"Less than 5% change"
"balanus laevis",6e-04,-3.111370902,"Less than 5% change"
"brachidontes granulata",6e-04,4.291090496,"Less than 5% change"
"bunodactis spp.",6e-04,8.416370734,"Increase"
"Oulactis concinnata",6e-04,8.416370734,"Increase"
"jhelius cirratus",6e-04,-27.95239669,"Decrease"
"lessonia nigrescens a",6e-04,-100,"Decrease"
"nothobalanus flosculus",6e-04,-30.69450498,"Decrease"
"nothochthamalus scabrosus",6e-04,-26.86100665,"Decrease"
"parantheopsis ",6e-04,8.416370734,"Increase"
"perumytilus purpuratus",6e-04,-12.31280688,"Decrease"
"phragmatopoma spp.",6e-04,4.529191945,"Less than 5% change"
"phymactis spp.",6e-04,8.416370734,"Increase"
"pyura chilensis",6e-04,4.568190017,"Less than 5% change"
"semimytilus algosus",6e-04,-4.385472402,"Less than 5% change"
"gulls",6e-04,-36.65134498,"Decrease"
"cinclodes nigrofumosus",6e-04,-49.0739103,"Decrease"
"Echinolittorina peruviana",6e-04,-100,"Decrease"
"austrolittorina araucana",6e-04,-100,"Decrease"
"onchidella sp. ",6e-04,-100,"Decrease"
"Allelopetrolisthes punctatus",6e-04,-50.6754798,"Decrease"
"petrolisthes spinifrons",6e-04,-50.6754798,"Decrease"
"petrolisthes angulosus",6e-04,-50.6754798,"Decrease"
"petrolisthes tuberculatus",6e-04,-50.6754798,"Decrease"
"petrolisthes tuberculosus",6e-04,-50.6754798,"Decrease"
"trimusculus peruvianus",6e-04,-100,"Decrease"
"lessonia nigrescens j",6e-04,-100,"Decrease"
"algae",6e-04,-18.21428263,"Decrease"
"acanthina monodon",7e-04,0.236927563,"Less than 5% change"
"acanthocyclus gayi",7e-04,10.32740644,"Increase"
"acanthocyclus hassleri",7e-04,1.011373845,"Less than 5% change"
"acanthopleura echinata",7e-04,8.52343877,"Increase"
"chaetopleura peruviana",7e-04,2.768248787,"Less than 5% change"
"chiton  cummingsi",7e-04,-6.291727074,"Decrease"
"chiton  granosus",7e-04,-7.210206143,"Decrease"
"chiton  latus",7e-04,-5.348316606,"Decrease"
"lottia  orbignyi",7e-04,-8.135233412,"Decrease"
"concholepas concholepas",7e-04,1.46907961,"Less than 5% change"
"enoplochiton  niger",7e-04,0.433801543,"Less than 5% change"
"fissurella  costata",7e-04,4.647493485,"Less than 5% change"
"fissurella  crassa",7e-04,1.594112197,"Less than 5% change"
"fissurella  cummingi",7e-04,5.000315266,"Increase"
"fissurella  limbata",7e-04,9.952303998,"Increase"
"fissurella  maxima",7e-04,3.820395968,"Less than 5% change"
"fissurella  picta",7e-04,5.196273642,"Increase"
"fissurella  puhlcra",7e-04,5.196273642,"Increase"
"heliaster helianthus",7e-04,6.726538905,"Increase"
"scurria  araucana",7e-04,-8.14835234,"Decrease"
"scurria  ceciliana",7e-04,-8.628672656,"Decrease"
"scurria  plana",7e-04,-8.382317143,"Decrease"
"scurria scurra",7e-04,-100,"Decrease"
"scurria variabilis",7e-04,-9.842769466,"Decrease"
"scurria viridula",7e-04,-11.09456887,"Decrease"
"scurria zebrina",7e-04,-11.58980403,"Decrease"
"siphonaria lesoni",7e-04,-5.136388855,"Decrease"
"stichaster striatus",7e-04,12.01411062,"Increase"
"tegula atra",7e-04,176.8215574,"Increase"
"Tonicia lineolata",7e-04,26.8436255,"Increase"
"tonicia  chilensis",7e-04,26.8436255,"Increase"
"tonicia  elegans",7e-04,26.8436255,"Increase"
"anthotoe spp.",7e-04,8.416370825,"Increase"
"austromegabalanus psittacus",7e-04,4.622761491,"Less than 5% change"
"balanus laevis",7e-04,-3.111373517,"Less than 5% change"
"brachidontes granulata",7e-04,4.291090676,"Less than 5% change"
"bunodactis spp.",7e-04,8.416370825,"Increase"
"Oulactis concinnata",7e-04,8.416370825,"Increase"
"jhelius cirratus",7e-04,-27.95239585,"Decrease"
"lessonia nigrescens a",7e-04,-100,"Decrease"
"nothobalanus flosculus",7e-04,-30.69450497,"Decrease"
"nothochthamalus scabrosus",7e-04,-26.86100582,"Decrease"
"parantheopsis ",7e-04,8.416370825,"Increase"
"perumytilus purpuratus",7e-04,-12.31280703,"Decrease"
"phragmatopoma spp.",7e-04,4.529192096,"Less than 5% change"
"phymactis spp.",7e-04,8.416370825,"Increase"
"pyura chilensis",7e-04,4.568190159,"Less than 5% change"
"semimytilus algosus",7e-04,-4.385472425,"Less than 5% change"
"gulls",7e-04,-36.65134441,"Decrease"
"cinclodes nigrofumosus",7e-04,-49.07390947,"Decrease"
"Echinolittorina peruviana",7e-04,-100,"Decrease"
"austrolittorina araucana",7e-04,-100,"Decrease"
"onchidella sp. ",7e-04,-100,"Decrease"
"Allelopetrolisthes punctatus",7e-04,-50.67547895,"Decrease"
"petrolisthes spinifrons",7e-04,-50.67547895,"Decrease"
"petrolisthes angulosus",7e-04,-50.67547895,"Decrease"
"petrolisthes tuberculatus",7e-04,-50.67547895,"Decrease"
"petrolisthes tuberculosus",7e-04,-50.67547895,"Decrease"
"trimusculus peruvianus",7e-04,-100,"Decrease"
"lessonia nigrescens j",7e-04,-100,"Decrease"
"algae",7e-04,-18.21428705,"Decrease"
